X[m]	Nd[m^-3]	ux[m/s]	uy[m/s]	uz[m/s]	u2x[(m/s)^2]	u2y[(m/s)^2]	u2z[(m/s)^2]	Ttrx[K]	Ttry[K]	Ttrz[K]	Ttr[K]
5.23911e-05	2.77647e+24	-6.49388	-23.605	5.10371	69399	72976	83908.7	279.123	293.295	310.383	294.267
5.25358e-05	2.85894e+24	11.7126	-11.5153	28.9179	67975.8	77742.3	76769	267.549	310.707	319.953	299.403
5.26805e-05	3.28045e+24	24.6181	-12.0461	-4.64179	77303.9	76120	82748.1	310.761	328.885	346.798	328.815
5.28253e-05	2.85894e+24	23.5495	-21.6618	-18.3145	76548.8	67949.5	63733.3	300.879	282.605	248.386	277.29
5.297e-05	3.04221e+24	2.80641	-7.17898	-9.41605	81866.7	76063.4	80849.8	326.573	335.183	350.543	337.433
5.31147e-05	3.23464e+24	10.3763	29.6497	-15.1328	57879.8	77895.7	75455	249.824	346.03	325.038	306.964
5.32595e-05	3.28962e+24	-15.4876	-12.7249	-11.1803	70671.3	66995.7	80403.4	298.984	284.706	346.642	310.111
5.34042e-05	3.18882e+24	-25.538	2.80564	-3.78664	75000.7	76383.1	73117	290.263	320.595	313.179	308.013
5.35489e-05	2.76731e+24	-10.8269	7.5291	0.456472	77655.9	82810.4	67150	278.561	299.559	269.669	282.596
5.36936e-05	2.98723e+24	-39.1148	3.28396	18.3598	75276.7	86210.3	66773.9	311.221	339.119	270.761	307.033
5.38384e-05	3.11551e+24	-12.4104	-11.8551	-5.57635	75929	75931.2	63630.7	316.56	328.089	254.359	299.669
5.39831e-05	3.143e+24	1.97989	4.7669	2.37755	74737.4	81055.6	76065.1	322.911	328.046	299.222	316.726
5.41278e-05	2.76731e+24	17.0239	-13.2249	-8.07318	69327.1	71977.8	82849.5	292.359	300.184	357.154	316.565
5.42725e-05	2.90476e+24	-2.1279	15.5857	-0.261146	74202.6	68864.2	77455.2	318.695	271.852	306.07	298.873
5.44173e-05	3.03304e+24	1.04543	12.3191	-16.1251	76403.6	77358.1	83369.5	313.514	302.156	357.548	324.406
5.4562e-05	2.95974e+24	29.2726	14.9672	-9.97854	90050.4	66920.3	83523.8	339.313	269.342	354.809	321.155
5.47067e-05	2.95058e+24	11.6694	-17.5746	7.45114	65223.9	62030.1	73209.7	268.311	271.416	312.876	284.201
5.48514e-05	3.03304e+24	11.0383	7.02258	-2.00699	56556.9	55836.8	65281	245.918	240.023	268.542	251.495
5.49962e-05	3.44539e+24	-8.36474	20.0968	2.02805	68325.5	76587.3	70336.7	280.378	325.665	300.273	302.105
5.51409e-05	2.73066e+24	-17.0441	1.59984	26.8533	55896.7	76590.7	68195.1	224.453	329.188	257.518	270.386
5.52856e-05	3.05137e+24	26.5136	18.4806	8.08266	63883.3	66951.2	71158.4	277.534	278.99	297.478	284.667
5.54304e-05	3.02388e+24	8.19553	32.2097	32.2505	67796.7	76932.1	70457	297.372	293.791	289.4	293.521
5.55751e-05	3.29878e+24	7.16376	-30.2306	2.62641	69995.4	67327.8	66452.6	272.321	268.525	278.61	273.152
5.57198e-05	3.07886e+24	5.95355	11.1337	-22.7111	66619.2	66420.3	67295.9	268.849	272.204	269.746	270.266
5.58645e-05	3.20715e+24	13.6141	6.33313	-4.44547	72957.7	74185.2	75044.6	318.028	323.924	304.445	315.466
5.60093e-05	3.26213e+24	7.48155	8.5593	-18.7812	80425.2	76370.9	83402.8	350.52	307.718	363.675	340.638
5.6154e-05	3.08802e+24	34.0708	-10.968	-18.4678	72999.9	65852.9	76427.5	293.706	274.263	302.284	290.085
5.62987e-05	3.32627e+24	-8.32604	2.88506	-31.7533	78797.5	63935.6	71551.7	357.56	281.356	316.665	318.527
5.64434e-05	3.18882e+24	-33.1006	-5.08499	3.57229	70597.9	72673.8	74951.9	295.635	315.921	320.709	310.755
5.65882e-05	2.9689e+24	-8.21647	0.814984	25.1461	71745.7	69050.1	61802	311.889	281.55	263.792	285.744
5.67329e-05	3.143e+24	-7.5007	-14.168	-0.777494	68911.7	69283.5	68317	257.459	304.086	276.506	279.35
5.68776e-05	2.88643e+24	-15.5036	2.22082	-10.011	73175.3	70819.1	70617	292.101	288.557	281.081	287.246
5.70223e-05	2.88643e+24	28.6918	-7.126	-0.198538	64614.1	64940	64836.6	251.245	253.001	280.19	261.479
